day,timestamp,emeralds_value,emeralds_pnl_increment,tomatoes_value,tomatoes_pnl_increment,portfolio_value_total,pnl_increment_total
-2,14900,156.0,16.0,112.0,0.0,268.0,16.0
-2,15000,140.0,-16.0,112.0,0.0,252.0,-16.0
-2,15100,140.0,0.0,112.0,0.0,252.0,0.0
-2,15200,140.0,0.0,112.0,0.0,252.0,0.0
-2,15300,140.0,0.0,112.0,0.0,252.0,0.0
-2,15400,140.0,0.0,112.0,0.0,252.0,0.0
-2,15500,140.0,0.0,112.0,0.0,252.0,0.0
-2,15600,140.0,0.0,112.0,0.0,252.0,0.0
-2,15700,140.0,0.0,112.0,0.0,252.0,0.0
-2,15800,140.0,0.0,112.0,0.0,252.0,0.0
-2,15900,140.0,0.0,112.0,0.0,252.0,0.0
-2,16000,140.0,0.0,112.0,0.0,252.0,0.0
-2,16100,140.0,0.0,112.0,0.0,252.0,0.0
-2,16200,140.0,0.0,112.0,0.0,252.0,0.0
-2,16300,140.0,0.0,112.0,0.0,252.0,0.0
-2,16400,140.0,0.0,112.0,0.0,252.0,0.0
-2,16500,140.0,0.0,112.0,0.0,252.0,0.0
-2,16600,140.0,0.0,112.0,0.0,252.0,0.0
-2,16700,140.0,0.0,112.0,0.0,252.0,0.0
-2,16800,140.0,0.0,112.0,0.0,252.0,0.0
-2,16900,140.0,0.0,112.0,0.0,252.0,0.0
-2,17000,140.0,0.0,112.0,0.0,252.0,0.0
-2,17100,140.0,0.0,136.0,24.0,276.0,24.0
-2,17200,140.0,0.0,136.0,0.0,276.0,0.0
-2,17300,140.0,0.0,136.0,0.0,276.0,0.0
-2,17400,140.0,0.0,140.0,4.0,280.0,4.0
-2,17500,140.0,0.0,142.0,2.0,282.0,2.0
-2,17600,140.0,0.0,140.0,-2.0,280.0,-2.0
-2,17700,140.0,0.0,136.0,-4.0,276.0,-4.0
-2,17800,140.0,0.0,134.0,-2.0,274.0,-2.0
-2,17900,140.0,0.0,130.0,-4.0,270.0,-4.0
-2,18000,140.0,0.0,142.0,12.0,282.0,12.0
-2,18100,140.0,0.0,136.0,-6.0,276.0,-6.0
-2,18200,140.0,0.0,136.0,0.0,276.0,0.0
-2,18300,140.0,0.0,136.0,0.0,276.0,0.0
-2,18400,140.0,0.0,138.0,2.0,278.0,2.0
-2,18500,140.0,0.0,140.0,2.0,280.0,2.0
-2,18600,140.0,0.0,140.0,0.0,280.0,0.0
-2,18700,140.0,0.0,152.0,12.0,292.0,12.0
-2,18800,140.0,0.0,142.0,-10.0,282.0,-10.0
-2,18900,140.0,0.0,142.0,0.0,282.0,0.0
-2,19000,140.0,0.0,142.0,0.0,282.0,0.0
-2,19100,140.0,0.0,142.0,0.0,282.0,0.0
-2,19200,140.0,0.0,140.0,-2.0,280.0,-2.0
-2,19300,140.0,0.0,136.0,-4.0,276.0,-4.0
-2,19400,140.0,0.0,138.0,2.0,278.0,2.0
-2,19500,140.0,0.0,134.0,-4.0,274.0,-4.0
-2,19600,140.0,0.0,136.0,2.0,276.0,2.0
-2,19700,140.0,0.0,136.0,0.0,276.0,0.0
-2,19800,140.0,0.0,136.0,0.0,276.0,0.0
-2,19900,140.0,0.0,138.0,2.0,278.0,2.0
-2,20000,140.0,0.0,140.0,2.0,280.0,2.0
-2,20100,140.0,0.0,140.0,0.0,280.0,0.0
-2,20200,140.0,0.0,142.0,2.0,282.0,2.0
-2,20300,140.0,0.0,140.0,-2.0,280.0,-2.0
-2,20400,140.0,0.0,144.0,4.0,284.0,4.0
-2,20500,140.0,0.0,144.0,0.0,284.0,0.0
-2,20600,140.0,0.0,142.0,-2.0,282.0,-2.0
-2,20700,140.0,0.0,140.0,-2.0,280.0,-2.0
-2,20800,140.0,0.0,140.0,0.0,280.0,0.0
-2,20900,140.0,0.0,138.0,-2.0,278.0,-2.0
-2,21000,140.0,0.0,138.0,0.0,278.0,0.0
-2,21100,140.0,0.0,138.0,0.0,278.0,0.0
-2,21200,140.0,0.0,138.0,0.0,278.0,0.0
-2,21300,140.0,0.0,140.0,2.0,280.0,2.0
-2,21400,140.0,0.0,138.0,-2.0,278.0,-2.0
-2,21500,140.0,0.0,140.0,2.0,280.0,2.0
-2,21600,140.0,0.0,138.0,-2.0,278.0,-2.0
-2,21700,140.0,0.0,142.0,4.0,282.0,4.0
-2,21800,140.0,0.0,140.0,-2.0,280.0,-2.0
-2,21900,124.0,-16.0,138.0,-2.0,262.0,-18.0
-2,22000,140.0,16.0,136.0,-2.0,276.0,14.0
-2,22100,140.0,0.0,138.0,2.0,278.0,2.0
-2,22200,140.0,0.0,140.0,2.0,280.0,2.0
-2,22300,140.0,0.0,126.0,-14.0,266.0,-14.0
-2,22400,140.0,0.0,126.0,0.0,266.0,0.0
-2,22500,140.0,0.0,140.0,14.0,280.0,14.0
-2,22600,140.0,0.0,138.0,-2.0,278.0,-2.0
-2,22700,140.0,0.0,138.0,0.0,278.0,0.0
-2,22800,142.0,2.0,138.0,0.0,280.0,2.0
-2,22900,134.0,-8.0,144.0,6.0,278.0,-2.0
-2,23000,134.0,0.0,140.0,-4.0,274.0,-4.0
-2,23100,134.0,0.0,140.0,0.0,274.0,0.0
-2,23200,134.0,0.0,142.0,2.0,276.0,2.0
-2,23300,134.0,0.0,154.0,12.0,288.0,12.0
-2,23400,134.0,0.0,146.0,-8.0,280.0,-8.0
-2,23500,134.0,0.0,144.0,-2.0,278.0,-2.0
-2,23600,134.0,0.0,146.0,2.0,280.0,2.0
-2,23700,134.0,0.0,146.0,0.0,280.0,0.0
-2,23800,134.0,0.0,142.0,-4.0,276.0,-4.0
-2,23900,134.0,0.0,142.0,0.0,276.0,0.0
-2,24000,134.0,0.0,170.0,28.0,304.0,28.0
-2,24100,126.0,-8.0,170.0,0.0,296.0,-8.0
-2,24200,134.0,8.0,170.0,0.0,304.0,8.0
-2,24300,134.0,0.0,170.5,0.5,304.5,0.5
-2,24400,134.0,0.0,170.5,0.0,304.5,0.0
-2,24500,134.0,0.0,170.0,-0.5,304.0,-0.5
-2,24600,134.0,0.0,169.5,-0.5,303.5,-0.5
-2,24700,134.0,0.0,169.0,-0.5,303.0,-0.5
-2,24800,134.0,0.0,169.5,0.5,303.5,0.5
-2,24900,134.0,0.0,169.0,-0.5,303.0,-0.5
-2,25000,134.0,0.0,169.0,0.0,303.0,0.0
-2,25100,134.0,0.0,169.5,0.5,303.5,0.5
-2,25200,134.0,0.0,169.5,0.0,303.5,0.0
-2,25300,134.0,0.0,169.0,-0.5,303.0,-0.5
-2,25400,134.0,0.0,169.0,0.0,303.0,0.0
-2,25500,134.0,0.0,169.0,0.0,303.0,0.0
-2,25600,134.0,0.0,169.0,0.0,303.0,0.0
-2,25700,134.0,0.0,169.5,0.5,303.5,0.5
-2,25800,134.0,0.0,165.5,-4.0,299.5,-4.0
-2,25900,134.0,0.0,168.0,2.5,302.0,2.5
-2,26000,134.0,0.0,167.0,-1.0,301.0,-1.0
-2,26100,134.0,0.0,167.0,0.0,301.0,0.0
-2,26200,134.0,0.0,166.5,-0.5,300.5,-0.5
-2,26300,134.0,0.0,166.0,-0.5,300.0,-0.5
-2,26400,134.0,0.0,166.5,0.5,300.5,0.5
-2,26500,134.0,0.0,167.5,1.0,301.5,1.0
-2,26600,134.0,0.0,168.0,0.5,302.0,0.5
-2,26700,134.0,0.0,166.0,-2.0,300.0,-2.0
-2,26800,134.0,0.0,172.5,6.5,306.5,6.5
-2,26900,134.0,0.0,169.0,-3.5,303.0,-3.5
-2,27000,134.0,0.0,169.5,0.5,303.5,0.5
-2,27100,142.0,8.0,169.0,-0.5,311.0,7.5
-2,27200,142.0,0.0,168.5,-0.5,310.5,-0.5
-2,27300,134.0,-8.0,197.0,28.5,331.0,20.5
-2,27400,134.0,0.0,185.0,-12.0,319.0,-12.0
-2,27500,134.0,0.0,197.0,12.0,331.0,12.0
-2,27600,134.0,0.0,199.0,2.0,333.0,2.0
-2,27700,134.0,0.0,211.0,12.0,345.0,12.0
-2,27800,134.0,0.0,197.0,-14.0,331.0,-14.0
-2,27900,134.0,0.0,195.0,-2.0,329.0,-2.0
-2,28000,134.0,0.0,193.0,-2.0,327.0,-2.0
-2,28100,134.0,0.0,181.0,-12.0,315.0,-12.0
-2,28200,134.0,0.0,197.0,16.0,331.0,16.0
-2,28300,134.0,0.0,201.0,4.0,335.0,4.0
-2,28400,134.0,0.0,199.0,-2.0,333.0,-2.0
-2,28500,134.0,0.0,199.0,0.0,333.0,0.0
-2,28600,134.0,0.0,197.0,-2.0,331.0,-2.0
-2,28700,134.0,0.0,213.0,16.0,347.0,16.0
-2,28800,134.0,0.0,199.0,-14.0,333.0,-14.0
-2,28900,134.0,0.0,199.0,0.0,333.0,0.0
-2,29000,134.0,0.0,203.0,4.0,337.0,4.0
-2,29100,142.0,8.0,203.0,0.0,345.0,8.0
-2,29200,134.0,-8.0,205.0,2.0,339.0,-6.0
-2,29300,134.0,0.0,205.0,0.0,339.0,0.0
-2,29400,134.0,0.0,209.0,4.0,343.0,4.0
-2,29500,134.0,0.0,209.0,0.0,343.0,0.0
-2,29600,134.0,0.0,209.0,0.0,343.0,0.0
-2,29700,134.0,0.0,209.0,0.0,343.0,0.0
-2,29800,134.0,0.0,211.0,2.0,345.0,2.0
-2,29900,134.0,0.0,209.0,-2.0,343.0,-2.0
-2,30000,134.0,0.0,207.0,-2.0,341.0,-2.0
-2,30100,134.0,0.0,219.0,12.0,353.0,12.0
-2,30200,134.0,0.0,213.0,-6.0,347.0,-6.0
-2,30300,134.0,0.0,209.0,-4.0,343.0,-4.0
-2,30400,134.0,0.0,207.0,-2.0,341.0,-2.0
-2,30500,134.0,0.0,191.0,-16.0,325.0,-16.0
-2,30600,134.0,0.0,211.0,20.0,345.0,20.0
-2,30700,134.0,0.0,213.0,2.0,347.0,2.0
-2,30800,134.0,0.0,209.0,-4.0,343.0,-4.0
-2,30900,134.0,0.0,197.0,-12.0,331.0,-12.0
-2,31000,134.0,0.0,213.0,16.0,347.0,16.0
-2,31100,134.0,0.0,213.0,0.0,347.0,0.0
-2,31200,134.0,0.0,213.0,0.0,347.0,0.0
-2,31300,134.0,0.0,209.0,-4.0,343.0,-4.0
-2,31400,142.0,8.0,207.0,-2.0,349.0,6.0
-2,31500,134.0,-8.0,207.0,0.0,341.0,-8.0
-2,31600,134.0,0.0,207.0,0.0,341.0,0.0
-2,31700,134.0,0.0,209.0,2.0,343.0,2.0
-2,31800,134.0,0.0,213.0,4.0,347.0,4.0
-2,31900,134.0,0.0,215.0,2.0,349.0,2.0
-2,32000,134.0,0.0,213.0,-2.0,347.0,-2.0
-2,32100,134.0,0.0,215.0,2.0,349.0,2.0
-2,32200,134.0,0.0,213.0,-2.0,347.0,-2.0
-2,32300,134.0,0.0,209.0,-4.0,343.0,-4.0
-2,32400,134.0,0.0,213.0,4.0,347.0,4.0
-2,32500,134.0,0.0,215.0,2.0,349.0,2.0
-2,32600,134.0,0.0,213.0,-2.0,347.0,-2.0
-2,32700,134.0,0.0,225.0,12.0,359.0,12.0
-2,32800,134.0,0.0,221.5,-3.5,355.5,-3.5
-2,32900,134.0,0.0,225.5,4.0,359.5,4.0
-2,33000,134.0,0.0,226.5,1.0,360.5,1.0
-2,33100,134.0,0.0,227.0,0.5,361.0,0.5
-2,33200,134.0,0.0,226.0,-1.0,360.0,-1.0
-2,33300,134.0,0.0,226.0,0.0,360.0,0.0
-2,33400,134.0,0.0,226.5,0.5,360.5,0.5
-2,33500,134.0,0.0,226.5,0.0,360.5,0.0
-2,33600,134.0,0.0,226.5,0.0,360.5,0.0
-2,33700,134.0,0.0,226.5,0.0,360.5,0.0
-2,33800,134.0,0.0,226.0,-0.5,360.0,-0.5
-2,33900,134.0,0.0,226.5,0.5,360.5,0.5
-2,34000,134.0,0.0,226.0,-0.5,360.0,-0.5
-2,34100,134.0,0.0,226.0,0.0,360.0,0.0
-2,34200,134.0,0.0,226.0,0.0,360.0,0.0
-2,34300,134.0,0.0,225.5,-0.5,359.5,-0.5
-2,34400,134.0,0.0,226.5,1.0,360.5,1.0
-2,34500,134.0,0.0,226.5,0.0,360.5,0.0
-2,34600,134.0,0.0,226.5,0.0,360.5,0.0
-2,34700,134.0,0.0,227.0,0.5,361.0,0.5
-2,34800,134.0,0.0,227.5,0.5,361.5,0.5
-2,34900,134.0,0.0,227.5,0.0,361.5,0.0
-2,35000,126.0,-8.0,227.5,0.0,353.5,-8.0
-2,35100,142.0,16.0,227.5,0.0,369.5,16.0
-2,35200,134.0,-8.0,227.5,0.0,361.5,-8.0
-2,35300,134.0,0.0,227.0,-0.5,361.0,-0.5
-2,35400,134.0,0.0,227.0,0.0,361.0,0.0
-2,35500,134.0,0.0,223.0,-4.0,357.0,-4.0
-2,35600,169.0,35.0,227.0,4.0,396.0,39.0
-2,35700,169.0,0.0,227.5,0.5,396.5,0.5
-2,35800,169.0,0.0,227.5,0.0,396.5,0.0
-2,35900,169.0,0.0,227.0,-0.5,396.0,-0.5
-2,36000,169.0,0.0,227.0,0.0,396.0,0.0
-2,36100,169.0,0.0,227.0,0.0,396.0,0.0
-2,36200,169.0,0.0,226.5,-0.5,395.5,-0.5
-2,36300,169.0,0.0,226.5,0.0,395.5,0.0
-2,36400,169.0,0.0,227.0,0.5,396.0,0.5
-2,36500,169.0,0.0,227.0,0.0,396.0,0.0
-2,36600,169.0,0.0,225.5,-1.5,394.5,-1.5
-2,36700,169.0,0.0,225.5,0.0,394.5,0.0
-2,36800,169.0,0.0,229.0,3.5,398.0,3.5
-2,36900,169.0,0.0,226.5,-2.5,395.5,-2.5
-2,37000,169.0,0.0,226.5,0.0,395.5,0.0
-2,37100,169.0,0.0,227.5,1.0,396.5,1.0
-2,37200,169.0,0.0,227.5,0.0,396.5,0.0
-2,37300,169.0,0.0,227.0,-0.5,396.0,-0.5
-2,37400,169.0,0.0,226.5,-0.5,395.5,-0.5
-2,37500,169.0,0.0,226.0,-0.5,395.0,-0.5
-2,37600,169.0,0.0,226.5,0.5,395.5,0.5
-2,37700,169.0,0.0,226.0,-0.5,395.0,-0.5
-2,37800,169.0,0.0,226.5,0.5,395.5,0.5
-2,37900,169.0,0.0,226.0,-0.5,395.0,-0.5
-2,38000,169.0,0.0,226.5,0.5,395.5,0.5
-2,38100,169.0,0.0,226.5,0.0,395.5,0.0
-2,38200,169.0,0.0,225.5,-1.0,394.5,-1.0
-2,38300,197.0,28.0,225.5,0.0,422.5,28.0
-2,38400,197.0,0.0,226.0,0.5,423.0,0.5
-2,38500,197.0,0.0,226.0,0.0,423.0,0.0
-2,38600,197.0,0.0,225.5,-0.5,422.5,-0.5
-2,38700,197.0,0.0,228.5,3.0,425.5,3.0
-2,38800,197.0,0.0,228.5,0.0,425.5,0.0
-2,38900,197.0,0.0,225.0,-3.5,422.0,-3.5
-2,39000,197.0,0.0,256.0,31.0,453.0,31.0
-2,39100,197.0,0.0,262.0,6.0,459.0,6.0
-2,39200,197.0,0.0,266.0,4.0,463.0,4.0
-2,39300,197.0,0.0,266.0,0.0,463.0,0.0
-2,39400,197.0,0.0,266.0,0.0,463.0,0.0
-2,39500,197.0,0.0,268.0,2.0,465.0,2.0
-2,39600,197.0,0.0,266.0,-2.0,463.0,-2.0
-2,39700,197.0,0.0,262.0,-4.0,459.0,-4.0
-2,39800,197.0,0.0,262.0,0.0,459.0,0.0
-2,39900,197.0,0.0,266.0,4.0,463.0,4.0
-2,40000,197.0,0.0,268.0,2.0,465.0,2.0
-2,40100,197.0,0.0,268.0,0.0,465.0,0.0
-2,40200,197.0,0.0,270.0,2.0,467.0,2.0
-2,40300,197.0,0.0,268.0,-2.0,465.0,-2.0
-2,40400,197.0,0.0,268.0,0.0,465.0,0.0
-2,40500,197.0,0.0,268.0,0.0,465.0,0.0
-2,40600,197.0,0.0,272.0,4.0,469.0,4.0
-2,40700,197.0,0.0,272.0,0.0,469.0,0.0
-2,40800,197.0,0.0,278.0,6.0,475.0,6.0
-2,40900,197.0,0.0,276.0,-2.0,473.0,-2.0
-2,41000,197.0,0.0,274.0,-2.0,471.0,-2.0
-2,41100,197.0,0.0,272.0,-2.0,469.0,-2.0
-2,41200,197.0,0.0,262.0,-10.0,459.0,-10.0
-2,41300,197.0,0.0,270.0,8.0,467.0,8.0
-2,41400,197.0,0.0,270.0,0.0,467.0,0.0
-2,41500,197.0,0.0,280.0,10.0,477.0,10.0
-2,41600,197.0,0.0,270.0,-10.0,467.0,-10.0
-2,41700,197.0,0.0,277.0,7.0,474.0,7.0
-2,41800,197.0,0.0,274.0,-3.0,471.0,-3.0
-2,41900,197.0,0.0,279.0,5.0,476.0,5.0
-2,42000,197.0,0.0,274.0,-5.0,471.0,-5.0
-2,42100,253.0,56.0,273.0,-1.0,526.0,55.0
-2,42200,253.0,0.0,271.0,-2.0,524.0,-2.0
-2,42300,253.0,0.0,273.0,2.0,526.0,2.0
-2,42400,273.0,20.0,273.0,0.0,546.0,20.0
-2,42500,253.0,-20.0,273.0,0.0,526.0,-20.0
-2,42600,253.0,0.0,273.0,0.0,526.0,0.0
-2,42700,253.0,0.0,274.0,1.0,527.0,1.0
-2,42800,273.0,20.0,274.0,0.0,547.0,20.0
-2,42900,253.0,-20.0,274.0,0.0,527.0,-20.0
-2,43000,253.0,0.0,274.0,0.0,527.0,0.0
-2,43100,253.0,0.0,273.0,-1.0,526.0,-1.0
-2,43200,253.0,0.0,289.5,16.5,542.5,16.5
-2,43300,253.0,0.0,289.0,-0.5,542.0,-0.5
-2,43400,253.0,0.0,290.0,1.0,543.0,1.0
-2,43500,253.0,0.0,289.5,-0.5,542.5,-0.5
-2,43600,253.0,0.0,289.5,0.0,542.5,0.0
-2,43700,253.0,0.0,289.5,0.0,542.5,0.0
-2,43800,253.0,0.0,290.0,0.5,543.0,0.5
-2,43900,253.0,0.0,290.5,0.5,543.5,0.5
-2,44000,253.0,0.0,291.5,1.0,544.5,1.0
-2,44100,253.0,0.0,292.0,0.5,545.0,0.5
-2,44200,253.0,0.0,291.5,-0.5,544.5,-0.5
-2,44300,253.0,0.0,291.5,0.0,544.5,0.0
-2,44400,253.0,0.0,292.0,0.5,545.0,0.5
-2,44500,253.0,0.0,292.0,0.0,545.0,0.0
-2,44600,253.0,0.0,292.0,0.0,545.0,0.0
-2,44700,253.0,0.0,291.5,-0.5,544.5,-0.5
-2,44800,253.0,0.0,291.5,0.0,544.5,0.0
-2,44900,253.0,0.0,292.0,0.5,545.0,0.5
-2,45000,253.0,0.0,291.5,-0.5,544.5,-0.5
-2,45100,253.0,0.0,292.0,0.5,545.0,0.5
-2,45200,253.0,0.0,292.0,0.0,545.0,0.0
